Taxon	LFC_LR	qval_LR	LFC_W	qval_W	LFC_WR	qval_WR
d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Helicobacteraceae;g__Helicobacter_D	-0.7051432891437561	3.18864544713e-36	5.47947709005535	1.561297071410022e-124	5.953701307161307	0.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides_B_862066	-0.9423668139371564	0.0021458064457974	-3.347527181452975	5.813676325446775e-09	-1.7986700679758547	0.0016032930812592
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes_A_871400	-0.0193486535718371	1.0	-1.3489639708845305	7.253001995300368e-06	0.1296197926322678	1.0
d__Bacteria;p__Deferribacterota;c__Deferribacteres;o__Deferribacterales;f__Mucispirillaceae;g__Mucispirillum	-0.9186204299044806	0.0244344877363998	-3.767435250196689	1.1363164062982834e-08	-0.4392970497423433	1.0
d__Bacteria;p__Firmicutes_A;c__Clostridia_258483;o__Lachnospirales;f__Lachnospiraceae;g__COE1	0.0668304099795285	1.0	-1.239786231784064	1.0	-0.0230052445379134	1.0
d__Bacteria;p__Desulfobacterota_I;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Mailhella	-0.7051432891437557	3.18864544713e-36	4.742552173346996	4.833312014753831e-44	4.575694616953525	1.2013346047630412e-66
d__Bacteria;p__Firmicutes_A;c__Clostridia_258483;o__Oscillospirales;f__Oscillospiraceae_88309;g__Dysosmobacter	-0.0766550296424058	1.0	-1.0558668412645171	0.0286317999455839	0.4166780489122474	0.036671566660149
d__Bacteria;p__Firmicutes_A;c__Clostridia_258483;o__Lachnospirales;f__Lachnospiraceae;__	-0.7612915980509278	5.602582665336708e-05	-3.856195344936773	7.143495483714121e-07	-0.9103686862660532	1.830597339317244e-08
d__Bacteria;p__Firmicutes_A;c__Clostridia_258483;o__Lachnospirales;f__Lachnospiraceae;g__CAG-95	-3.0852192314294355	0.1619847061443388	-3.2278556627965846	0.0053240493710897	-3.585266763626336	9.47233565028008e-06
d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Helicobacteraceae;g__Helicobacter_C_479931	-0.7051432891437551	3.18864544713e-36	5.099694629109017	2.2270722501243074e-105	2.364080147237749	2.706281900317152e-07
d__Bacteria;p__Firmicutes_A;c__Clostridia_258483;o__Lachnospirales;f__Lachnospiraceae;g__14-2	1.0137007641031714	1.0	-1.727908227567781	0.4019690878163369	0.8885436802016105	1.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Marinifilaceae;g__Odoribacter_865974	-0.7051432891437555	3.18864544713e-36	1.0518170878207027	1.0	5.180607502363956	1.9327582873240245e-237
d__Bacteria;p__Firmicutes_A;c__Clostridia_258483;o__Lachnospirales;f__Lachnospiraceae;g__UBA3282	2.2931462091150747	0.1088530415565768	1.8976162300609587	1.0	3.7694072599993502	9.538067415813348e-06
d__Bacteria;p__Firmicutes_A;c__Clostridia_258483;o__Oscillospirales;f__Oscillospiraceae_88309;g__Lawsonibacter	1.5247867418842609	0.6942557461150453	1.422254383936724	1.0	2.730407030674976	0.0005113563413827054
d__Bacteria;p__Firmicutes_A;c__Clostridia_258483;o__Christensenellales;__;__	3.343014175941925	3.2852884923194865e-05	0.2905186556471615	1.0	3.214953032884646	2.6396939834723108e-99
d__Bacteria;p__Firmicutes_A;c__Clostridia_258483;o__Lachnospirales;f__Lachnospiraceae;g__C-53	-3.19812719658527	0.064030052107555	-2.8702560729192075	0.2674460850062033	-2.7178460850152724	0.1079442338721371
d__Bacteria;p__Firmicutes_A;c__Clostridia_258483;o__Lachnospirales;f__Lachnospiraceae;g__Acetatifactor	1.9845468119968144	1.0	-0.9216929913281068	1.0	-0.3472238428208485	1.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales_A_737866;f__Enterobacteriaceae_A;g__Escherichia_710834	-1.1124053563964404	0.4245219724954495	3.357740251547036	0.0050515051406758	0.0913044001215154	1.0
d__Bacteria;p__Firmicutes_A;c__Clostridia_258483;o__Lachnospirales;f__Lachnospiraceae;g__Kineothrix	0.2244396376904036	1.0	-1.9090205308760175	0.0160886482839902	-1.2450428709919064	0.0006605825590492583
d__Bacteria;p__Firmicutes_A;c__Clostridia_258483;o__Oscillospirales;f__Oscillospiraceae_88309;g__Enterenecus	0.1260768374866	1.0	-1.3747938681878322	1.0	0.8700423333674399	1.0
d__Bacteria;p__Firmicutes_A;c__Clostridia_258483;o__Lachnospirales;f__Lachnospiraceae;g__1XD42-69	0.3261295262303969	1.0	0.8303031717619656	1.0	4.4504068447406855	7.499091389546941e-21
